name,beschreibung
Gemüsepfanne,"Gesundes aus der Region, deftig angebraten"
Grilltofu,Fein gewürzt und mariniert
Hackbraten,Nicht nur für Hacker
Hühnersuppe,Suppenhuhn trifft Petersilie
Kartoffel-Lauch-Suppe,der klassische Bauchwärmer mit frischen Kräutern
Käsebrötchen,schmeckt vor und nach dem Essen
Kassler mit Rosmarinkartoffeln,dazu Salat und Senf
Lasagne,Klassisch mit Bolognesesoße und Creme Fraiche
Lasagne vegetarisch,Klassisch mit Sojagranulatsoße und Creme Fraiche
Mousse au Chocolat,sahnige schweizer Schokolade rundet jedes Essen ab
