id,name,beschreibung,erfasst_am,vegetarisch,vegan,preisintern,preisextern
1,Bratkartoffeln mit Speck und Zwiebeln,Kartoffeln mit Zwiebeln und gut Speck,2020-08-25,0,0,2.3,4
3,Bratkartoffeln mit Zwiebeln,Kartoffeln mit Zwiebeln und ohne Speck,2020-08-25,1,1,2.3,4
4,Grilltofu,Fein gewürzt und mariniert,2020-08-25,1,1,2.5,4.5
5,Lasagne,Klassisch mit Bolognesesoße und Creme Fraiche,2020-08-24,0,0,2.5,4.5
6,Lasagne vegetarisch,Klassisch mit Sojagranulatsoße und Creme Fraiche,2020-08-24,1,0,2.5,4.5
7,Hackbraten,Nicht nur für Hacker,2020-08-25,0,0,2.5,4
8,Gemüsepfanne,"Gesundes aus der Region, deftig angebraten",2020-08-25,1,1,2.3,4
9,Hühnersuppe,Suppenhuhn trifft Petersilie,2020-08-25,0,0,2,3.5
10,Forellenfilet,mit Kartoffeln und Dilldip,2020-08-22,0,0,3.8,5
11,Kartoffel-Lauch-Suppe,der klassische Bauchwärmer mit frischen Kräutern,2020-08-22,1,0,2,3
12,Kassler mit Rosmarinkartoffeln,dazu Salat und Senf,2020-08-23,0,0,3.8,5.2
13,Drei Reibekuchen mit Apfelmus,grob geriebene Kartoffeln aus der Region,2020-08-23,1,0,2.5,4.5
14,Pilzpfanne,die legendäre Pfanne aus Pilzen der Saison,2020-08-23,1,0,3,5
15,Pilzpfanne vegan,die legendäre Pfanne aus Pilzen der Saison ohne Käse,2020-08-24,1,1,3,5
16,Käsebrötchen,schmeckt vor und nach dem Essen,2020-08-24,1,0,1,1.5
17,Schinkenbrötchen,schmeckt auch ohne Hunger,2020-08-25,0,0,1.25,1.75
18,Tomatenbrötchen,mit Schnittlauch und Zwiebeln,2020-08-25,1,1,1,1.5
19,Mousse au Chocolat,sahnige schweizer Schokolade rundet jedes Essen ab,2020-08-26,1,0,1.25,1.75
20,Suppenkreation á la Chef,"was verschafft werden muss, gut und günstig",2020-08-26,0,0,0.5,0.9
21,Currywurst mit Pommes,Currywurst mit knusprigen Pommes,2020-08-26,0,0,3.5,5
